title,author,journal,citation,year,link
Does Science Advance One Funeral at a Time?,"P Azoulay, C Fons-Rosen, JSG Zivin","American Economic Review 109 (8), 2889-2920",344,,https://scholar.google.com/scholar?oi=bibs&cluster=1236964462083965038&btnI=1&hl=en
The Dynamics of Discrimination: Theory and Evidence,"JA Bohren, A Imas, M Rosenberg","American Economic Review 109 (10), 3395-3436",341,,https://scholar.google.com/scholar?oi=bibs&cluster=11194724013312282399&btnI=1&hl=en
"Imperfect Competition, Compensating Differentials, and Rent Sharing in the US Labor Market","T Lamadon, M Mogstad, B Setzler","American Economic Review 112 (1), 169-212",334,,https://scholar.google.com/scholar?oi=bibs&cluster=17448015259373703991&btnI=1&hl=en
The Dynamics of Motivated Beliefs,F Zimmermann,"American Economic Review 110 (2), 337-363",331,,https://scholar.google.com/scholar?oi=bibs&cluster=2148708713416486563&btnI=1&hl=en
From Extreme to Mainstream: The Erosion of Social Norms,"L Bursztyn, G Egorov, S Fiorin","American Economic Review 110 (11), 3522-3548",330,,https://scholar.google.com/scholar?oi=bibs&cluster=12632104194418896556&btnI=1&hl=en
Can You Move to Opportunity? Evidence from the Great Migration,E Derenoncourt,"American Economic Review 112 (2), 369-408",321,,https://scholar.google.com/scholar?oi=bibs&cluster=4160236930632496067&btnI=1&hl=en
Types of Contact: A Field Experiment on Collaborative and Adversarial Caste Integration,M Lowe,"American Economic Review 111 (6), 1807-1844",304,,https://scholar.google.com/scholar?oi=bibs&cluster=4628053787254712933&btnI=1&hl=en
Tax-Exempt Lobbying: Corporate Philanthropy as a Tool for Political Influence,"M Bertrand, M Bombardini, R Fisman, F Trebbi","American Economic Review 110 (7), 2065-2102",303,,https://scholar.google.com/scholar?oi=bibs&cluster=15861015869336719558&btnI=1&hl=en
Parents’ Beliefs about Their Children’s Academic Ability: Implications for Educational Investments,R Dizon-Ross,"American Economic Review 109 (8), 2728-2765",302,,https://scholar.google.com/scholar?oi=bibs&cluster=14024896132744252637&btnI=1&hl=en
Are Low Interest Rates Deflationary? A Paradox of Perfect-Foresight Analysis,"M García-Schmidt, M Woodford","American Economic Review 109 (1), 86-120",301,,https://scholar.google.com/scholar?oi=bibs&cluster=5894692992941549310&btnI=1&hl=en
